id,date,ward,prev,beds,cots,pts,adm,disch,tin,tout,deaths
71,2024-12-19,Nursery,3,5,1,3,2,2,1,1,0
72,2024-12-19,Total,84,146,42,97,65,62,25,37,7
73,2024-12-20,Med/Surg,10,20,5,15,10,8,5,6,1
74,2024-12-20,Mat/Surg,8,15,3,12,6,9,3,4,0
75,2024-12-20,Lying-In,12,25,6,18,14,13,4,7,2
76,2024-12-20,NICU,5,8,2,6,3,4,1,2,0
77,2024-12-20,CDU,7,10,4,8,5,6,2,3,1
78,2024-12-20,ICU,4,6,3,5,3,3,1,2,0
79,2024-12-20,Recovery,9,18,5,14,8,7,3,5,1
80,2024-12-20,Emergency,10,22,7,16,12,10,4,6,2
81,2024-12-20,Site Clinic,6,10,3,8,5,4,2,3,0
82,2024-12-20,Sub-Total,81,141,41,94,63,60,24,36,7
83,2024-12-20,Nursery,3,5,1,3,2,2,1,1,0
84,2024-12-20,Total,84,146,42,97,65,62,25,37,7
85,2024-12-21,Med/Surg,10,20,5,15,10,8,5,6,1
86,2024-12-21,Mat/Surg,8,15,3,12,6,9,3,4,0
87,2024-12-21,Lying-In,12,25,6,18,14,13,4,7,2
88,2024-12-21,NICU,5,8,2,6,3,4,1,2,0
89,2024-12-21,CDU,7,10,4,8,5,6,2,3,1
90,2024-12-21,ICU,4,6,3,5,3,3,1,2,0
91,2024-12-21,Recovery,9,18,5,14,8,7,3,5,1
92,2024-12-21,Emergency,10,22,7,16,12,10,4,6,2
93,2024-12-21,Site Clinic,6,10,3,8,5,4,2,3,0
94,2024-12-21,Sub-Total,81,141,41,94,63,60,24,36,7
95,2024-12-21,Nursery,3,5,1,3,2,2,1,1,0
96,2024-12-21,Total,84,146,42,97,65,62,25,37,7
97,,Med/Surg,10,20,5,15,10,8,5,6,1
98,,Mat/Surg,8,15,3,12,6,9,3,4,0
99,,Lying-In,12,25,6,18,14,13,4,7,2
100,,NICU,5,8,2,6,3,4,1,2,0
101,,CDU,7,10,4,8,5,6,2,3,1
102,,ICU,4,6,3,5,3,3,1,2,0
103,,Recovery,9,18,5,14,8,7,3,5,1
104,,Emergency,10,22,7,16,12,10,4,6,2
105,,Site Clinic,6,10,3,8,5,4,2,3,0
106,,Sub-Total,81,141,41,94,63,60,24,36,7
107,,Nursery,3,5,1,3,2,2,1,1,0
108,,Total,84,146,42,97,65,62,25,37,7
109,,Med/Surg,10,20,5,15,10,8,5,6,1
110,,Mat/Surg,8,15,3,12,6,9,3,4,0
111,,Lying-In,12,25,6,18,14,13,4,7,2
112,,NICU,5,8,2,6,3,4,1,2,0
113,,CDU,7,10,4,8,5,6,2,3,1
114,,ICU,4,6,3,5,3,3,1,2,0
115,,Recovery,9,18,5,14,8,7,3,5,1
116,,Emergency,10,22,7,16,12,10,4,6,2
117,,Site Clinic,6,10,3,8,5,4,2,3,0
118,,Sub-Total,81,141,41,94,63,60,24,36,7
119,,Nursery,3,5,1,3,2,2,1,1,0
120,,Total,84,146,42,97,65,62,25,37,7
121,,Med/Surg,10,20,5,15,10,8,5,6,1
122,,Mat/Surg,8,15,3,12,6,9,3,4,0
123,,Lying-In,12,25,6,18,14,13,4,7,2
124,,NICU,5,8,2,6,3,4,1,2,0
125,,CDU,7,10,4,8,5,6,2,3,1
126,,ICU,4,6,3,5,3,3,1,2,0
127,,Recovery,9,18,5,14,8,7,3,5,1
128,,Emergency,10,22,7,16,12,10,4,6,2
129,,Site Clinic,6,10,3,8,5,4,2,3,0
130,,Sub-Total,81,141,41,94,63,60,24,36,7
131,,Nursery,3,5,1,3,2,2,1,1,0
132,,Total,84,146,42,97,65,62,25,37,7
133,,Med/Surg,10,20,5,15,10,8,5,6,1
134,,Mat/Surg,8,15,3,12,6,9,3,4,0
135,,Lying-In,12,25,6,18,14,13,4,7,2
136,,NICU,5,8,2,6,3,4,1,2,0
137,,CDU,7,10,4,8,5,6,2,3,1
138,,ICU,4,6,3,5,3,3,1,2,0
139,,Recovery,9,18,5,14,8,7,3,5,1
140,,Emergency,10,22,7,16,12,10,4,6,2
141,,Site Clinic,6,10,3,8,5,4,2,3,0
142,,Sub-Total,81,141,41,94,63,60,24,36,7
143,,Nursery,3,5,1,3,2,2,1,1,0
144,,Total,84,146,42,97,65,62,25,37,7
145,,Med/Surg,10,20,5,15,10,8,5,6,1
146,,Mat/Surg,8,15,3,12,6,9,3,4,0
147,,Lying-In,12,25,6,18,14,13,4,7,2
148,,NICU,5,8,2,6,3,4,1,2,0
149,,CDU,7,10,4,8,5,6,2,3,1
150,,ICU,4,6,3,5,3,3,1,2,0
151,,Recovery,9,18,5,14,8,7,3,5,1
152,,Emergency,10,22,7,16,12,10,4,6,2
153,,Site Clinic,6,10,3,8,5,4,2,3,0
154,,Sub-Total,81,141,41,94,63,60,24,36,7
155,,Nursery,3,5,1,3,2,2,1,1,0
156,,Total,84,146,42,97,65,62,25,37,7
157,,Med/Surg,10,20,5,15,10,8,5,6,1
158,,Mat/Surg,8,15,3,12,6,9,3,4,0
159,,Lying-In,12,25,6,18,14,13,4,7,2
160,,NICU,5,8,2,6,3,4,1,2,0
161,,CDU,7,10,4,8,5,6,2,3,1
162,,ICU,4,6,3,5,3,3,1,2,0
163,,Recovery,9,18,5,14,8,7,3,5,1
164,,Emergency,10,22,7,16,12,10,4,6,2
165,,Site Clinic,6,10,3,8,5,4,2,3,0
166,,Sub-Total,81,141,41,94,63,60,24,36,7
167,,Nursery,3,5,1,3,2,2,1,1,0
168,,Total,84,146,42,97,65,62,25,37,7
169,,Med/Surg,10,20,5,15,10,8,5,6,1
170,,Mat/Surg,8,15,3,12,6,9,3,4,0
171,,Lying-In,12,25,6,18,14,13,4,7,2
172,,NICU,5,8,2,6,3,4,1,2,0
173,,CDU,7,10,4,8,5,6,2,3,1
174,,ICU,4,6,3,5,3,3,1,2,0
175,,Recovery,9,18,5,14,8,7,3,5,1
176,,Emergency,10,22,7,16,12,10,4,6,2
177,,Site Clinic,6,10,3,8,5,4,2,3,0
178,,Sub-Total,81,141,41,94,63,60,24,36,7
179,,Nursery,3,5,1,3,2,2,1,1,0
180,,Total,84,146,42,97,65,62,25,37,7
181,,Med/Surg,10,20,5,15,10,8,5,6,1
182,,Mat/Surg,8,15,3,12,6,9,3,4,0
183,,Lying-In,12,25,6,18,14,13,4,7,2
184,,NICU,5,8,2,6,3,4,1,2,0
185,,CDU,7,10,4,8,5,6,2,3,1
186,,ICU,4,6,3,5,3,3,1,2,0
187,,Recovery,9,18,5,14,8,7,3,5,1
188,,Emergency,10,22,7,16,12,10,4,6,2
189,,Site Clinic,6,10,3,8,5,4,2,3,0
190,,Sub-Total,81,141,41,94,63,60,24,36,7
191,,Nursery,3,5,1,3,2,2,1,1,0
192,,Total,84,146,42,97,65,62,25,37,7
193,,Med/Surg,10,20,5,15,10,8,5,6,1
194,,Mat/Surg,8,15,3,12,6,9,3,4,0
195,,Lying-In,12,25,6,18,14,13,4,7,2
196,,NICU,5,8,2,6,3,4,1,2,0
197,,CDU,7,10,4,8,5,6,2,3,1
198,,ICU,4,6,3,5,3,3,1,2,0
199,,Recovery,9,18,5,14,8,7,3,5,1
200,,Emergency,10,22,7,16,12,10,4,6,2
201,,Site Clinic,6,10,3,8,5,4,2,3,0
202,,Sub-Total,81,141,41,94,63,60,24,36,7
203,,Nursery,3,5,1,3,2,2,1,1,0
204,,Total,84,146,42,97,65,62,25,37,7
205,,Med/Surg,10,20,5,15,10,8,5,6,1
206,,Mat/Surg,8,15,3,12,6,9,3,4,0
207,,Lying-In,12,25,6,18,14,13,4,7,2
208,,NICU,5,8,2,6,3,4,1,2,0
209,,CDU,7,10,4,8,5,6,2,3,1
210,,ICU,4,6,3,5,3,3,1,2,0
211,,Recovery,9,18,5,14,8,7,3,5,1
212,,Emergency,10,22,7,16,12,10,4,6,2
213,,Site Clinic,6,10,3,8,5,4,2,3,0
214,,Sub-Total,81,141,41,94,63,60,24,36,7
215,,Nursery,3,5,1,3,2,2,1,1,0
216,,Total,84,146,42,97,65,62,25,37,7
217,,Med/Surg,10,20,5,15,10,8,5,6,1
218,,Mat/Surg,8,15,3,12,6,9,3,4,0
219,,Lying-In,12,25,6,18,14,13,4,7,2
220,,NICU,5,8,2,6,3,4,1,2,0
221,,CDU,7,10,4,8,5,6,2,3,1
222,,ICU,4,6,3,5,3,3,1,2,0
223,,Recovery,9,18,5,14,8,7,3,5,1
224,,Emergency,10,22,7,16,12,10,4,6,2
225,,Site Clinic,6,10,3,8,5,4,2,3,0
226,,Sub-Total,81,141,41,94,63,60,24,36,7
227,,Nursery,3,5,1,3,2,2,1,1,0
228,,Total,84,146,42,97,65,62,25,37,7
229,,Med/Surg,10,20,5,15,10,8,5,6,1
230,,Mat/Surg,8,15,3,12,6,9,3,4,0
231,,Lying-In,12,25,6,18,14,13,4,7,2
232,,NICU,5,8,2,6,3,4,1,2,0
233,,CDU,7,10,4,8,5,6,2,3,1
234,,ICU,4,6,3,5,3,3,1,2,0
235,,Recovery,9,18,5,14,8,7,3,5,1
236,,Emergency,10,22,7,16,12,10,4,6,2
237,,Site Clinic,6,10,3,8,5,4,2,3,0
238,,Sub-Total,81,141,41,94,63,60,24,36,7
239,,Nursery,3,5,1,3,2,2,1,1,0
240,,Total,84,146,42,97,65,62,25,37,7
241,,Med/Surg,10,20,5,15,10,8,5,6,1
242,,Mat/Surg,8,15,3,12,6,9,3,4,0
243,,Lying-In,12,25,6,18,14,13,4,7,2
244,,NICU,5,8,2,6,3,4,1,2,0
245,,CDU,7,10,4,8,5,6,2,3,1
246,,ICU,4,6,3,5,3,3,1,2,0
247,,Recovery,9,18,5,14,8,7,3,5,1
248,,Emergency,10,22,7,16,12,10,4,6,2
249,,Site Clinic,6,10,3,8,5,4,2,3,0
250,,Sub-Total,81,141,41,94,63,60,24,36,7
251,,Nursery,3,5,1,3,2,2,1,1,0
252,,Total,84,146,42,97,65,62,25,37,7
253,,Med/Surg,10,20,5,15,10,8,5,6,1
254,,Mat/Surg,8,15,3,12,6,9,3,4,0
255,,Lying-In,12,25,6,18,14,13,4,7,2
256,,NICU,5,8,2,6,3,4,1,2,0
257,,CDU,7,10,4,8,5,6,2,3,1
258,,ICU,4,6,3,5,3,3,1,2,0
259,,Recovery,9,18,5,14,8,7,3,5,1
260,,Emergency,10,22,7,16,12,10,4,6,2
261,,Site Clinic,6,10,3,8,5,4,2,3,0
262,,Sub-Total,81,141,41,94,63,60,24,36,7
263,,Nursery,3,5,1,3,2,2,1,1,0
264,,Total,84,146,42,97,65,62,25,37,7
265,,Med/Surg,10,20,5,15,10,8,5,6,1
266,,Mat/Surg,8,15,3,12,6,9,3,4,0
267,,Lying-In,12,25,6,18,14,13,4,7,2
268,,NICU,5,8,2,6,3,4,1,2,0
269,,CDU,7,10,4,8,5,6,2,3,1
270,,ICU,4,6,3,5,3,3,1,2,0
271,,Recovery,9,18,5,14,8,7,3,5,1
272,,Emergency,10,22,7,16,12,10,4,6,2
273,,Site Clinic,6,10,3,8,5,4,2,3,0
274,,Sub-Total,81,141,41,94,63,60,24,36,7
275,,Nursery,3,5,1,3,2,2,1,1,0
276,,Total,84,146,42,97,65,62,25,37,7
277,,Med/Surg,10,20,5,15,10,8,5,6,1
278,,Mat/Surg,8,15,3,12,6,9,3,4,0
279,,Lying-In,12,25,6,18,14,13,4,7,2
280,,NICU,5,8,2,6,3,4,1,2,0
281,,CDU,7,10,4,8,5,6,2,3,1
282,,ICU,4,6,3,5,3,3,1,2,0
283,,Recovery,9,18,5,14,8,7,3,5,1
284,,Emergency,10,22,7,16,12,10,4,6,2
285,,Site Clinic,6,10,3,8,5,4,2,3,0
286,,Sub-Total,81,141,41,94,63,60,24,36,7
287,,Nursery,3,5,1,3,2,2,1,1,0
288,,Total,84,146,42,97,65,62,25,37,7
289,,Med/Surg,10,20,5,15,10,8,5,6,1
290,,Mat/Surg,8,15,3,12,6,9,3,4,0
291,,Lying-In,12,25,6,18,14,13,4,7,2
292,,NICU,5,8,2,6,3,4,1,2,0
293,,CDU,7,10,4,8,5,6,2,3,1
294,,ICU,4,6,3,5,3,3,1,2,0
295,,Recovery,9,18,5,14,8,7,3,5,1
296,,Emergency,10,22,7,16,12,10,4,6,2
297,,Site Clinic,6,10,3,8,5,4,2,3,0
298,,Sub-Total,81,141,41,94,63,60,24,36,7
299,,Nursery,3,5,1,3,2,2,1,1,0
300,,Total,84,146,42,97,65,62,25,37,7
301,,Med/Surg,10,20,5,15,10,8,5,6,1
302,,Mat/Surg,8,15,3,12,6,9,3,4,0
303,,Lying-In,12,25,6,18,14,13,4,7,2
304,,NICU,5,8,2,6,3,4,1,2,0
305,,CDU,7,10,4,8,5,6,2,3,1
306,,ICU,4,6,3,5,3,3,1,2,0
307,,Recovery,9,18,5,14,8,7,3,5,1
308,,Emergency,10,22,7,16,12,10,4,6,2
309,,Site Clinic,6,10,3,8,5,4,2,3,0
310,,Sub-Total,81,141,41,94,63,60,24,36,7
311,,Nursery,3,5,1,3,2,2,1,1,0
312,,Total,84,146,42,97,65,62,25,37,7
313,,Med/Surg,10,20,5,15,10,8,5,6,1
314,,Mat/Surg,8,15,3,12,6,9,3,4,0
315,,Lying-In,12,25,6,18,14,13,4,7,2
316,,NICU,5,8,2,6,3,4,1,2,0
317,,CDU,7,10,4,8,5,6,2,3,1
318,,ICU,4,6,3,5,3,3,1,2,0
319,,Recovery,9,18,5,14,8,7,3,5,1
320,,Emergency,10,22,7,16,12,10,4,6,2
321,,Site Clinic,6,10,3,8,5,4,2,3,0
322,,Sub-Total,81,141,41,94,63,60,24,36,7
323,,Nursery,3,5,1,3,2,2,1,1,0
324,,Total,84,146,42,97,65,62,25,37,7
325,,Med/Surg,10,20,5,15,10,8,5,6,1
326,,Mat/Surg,8,15,3,12,6,9,3,4,0
327,,Lying-In,12,25,6,18,14,13,4,7,2
328,,NICU,5,8,2,6,3,4,1,2,0
329,,CDU,7,10,4,8,5,6,2,3,1
330,,ICU,4,6,3,5,3,3,1,2,0
331,,Recovery,9,18,5,14,8,7,3,5,1
332,,Emergency,10,22,7,16,12,10,4,6,2
333,,Site Clinic,6,10,3,8,5,4,2,3,0
334,,Sub-Total,81,141,41,94,63,60,24,36,7
335,,Nursery,3,5,1,3,2,2,1,1,0
336,,Total,84,146,42,97,65,62,25,37,7
337,,Med/Surg,10,20,5,15,10,8,5,6,1
338,,Mat/Surg,8,15,3,12,6,9,3,4,0
339,,Lying-In,12,25,6,18,14,13,4,7,2
340,,NICU,5,8,2,6,3,4,1,2,0
341,,CDU,7,10,4,8,5,6,2,3,1
342,,ICU,4,6,3,5,3,3,1,2,0
343,,Recovery,9,18,5,14,8,7,3,5,1
344,,Emergency,10,22,7,16,12,10,4,6,2
345,,Site Clinic,6,10,3,8,5,4,2,3,0
346,,Sub-Total,81,141,41,94,63,60,24,36,7
347,,Nursery,3,5,1,3,2,2,1,1,0
348,,Total,84,146,42,97,65,62,25,37,7
349,,Med/Surg,10,20,5,15,10,8,5,6,1
350,,Mat/Surg,8,15,3,12,6,9,3,4,0
351,,Lying-In,12,25,6,18,14,13,4,7,2
352,,NICU,5,8,2,6,3,4,1,2,0
353,,CDU,7,10,4,8,5,6,2,3,1
354,,ICU,4,6,3,5,3,3,1,2,0
355,,Recovery,9,18,5,14,8,7,3,5,1
356,,Emergency,10,22,7,16,12,10,4,6,2
357,,Site Clinic,6,10,3,8,5,4,2,3,0
358,,Sub-Total,81,141,41,94,63,60,24,36,7
359,,Nursery,3,5,1,3,2,2,1,1,0
360,,Total,84,146,42,97,65,62,25,37,7
361,,Med/Surg,10,20,5,15,10,8,5,6,1
362,,Mat/Surg,8,15,3,12,6,9,3,4,0
363,,Lying-In,12,25,6,18,14,13,4,7,2
364,,NICU,5,8,2,6,3,4,1,2,0
365,,CDU,7,10,4,8,5,6,2,3,1
366,,ICU,4,6,3,5,3,3,1,2,0
367,,Recovery,9,18,5,14,8,7,3,5,1
368,,Emergency,10,22,7,16,12,10,4,6,2
369,,Site Clinic,6,10,3,8,5,4,2,3,0
370,,Sub-Total,81,141,41,94,63,60,24,36,7
371,,Nursery,3,5,1,3,2,2,1,1,0
372,,Total,84,146,42,97,65,62,25,37,7
373,,Med/Surg,10,20,5,15,10,8,5,6,1
374,,Mat/Surg,8,15,3,12,6,9,3,4,0
375,,Lying-In,12,25,6,18,14,13,4,7,2
376,,NICU,5,8,2,6,3,4,1,2,0
377,,CDU,7,10,4,8,5,6,2,3,1
378,,ICU,4,6,3,5,3,3,1,2,0
379,,Recovery,9,18,5,14,8,7,3,5,1
380,,Emergency,10,22,7,16,12,10,4,6,2
381,,Site Clinic,6,10,3,8,5,4,2,3,0
382,,Sub-Total,81,141,41,94,63,60,24,36,7
383,,Nursery,3,5,1,3,2,2,1,1,0
384,,Total,84,146,42,97,65,62,25,37,7
385,,Med/Surg,10,20,5,15,10,8,5,6,1
386,,Mat/Surg,8,15,3,12,6,9,3,4,0
387,,Lying-In,12,25,6,18,14,13,4,7,2
388,,NICU,5,8,2,6,3,4,1,2,0
389,,CDU,7,10,4,8,5,6,2,3,1
390,,ICU,4,6,3,5,3,3,1,2,0
391,,Recovery,9,18,5,14,8,7,3,5,1
392,,Emergency,10,22,7,16,12,10,4,6,2
393,,Site Clinic,6,10,3,8,5,4,2,3,0
394,,Sub-Total,81,141,41,94,63,60,24,36,7
395,,Nursery,3,5,1,3,2,2,1,1,0
396,,Total,84,146,42,97,65,62,25,37,7
397,,Med/Surg,10,20,5,15,10,8,5,6,1
398,,Mat/Surg,8,15,3,12,6,9,3,4,0
399,,Lying-In,12,25,6,18,14,13,4,7,2
400,,NICU,5,8,2,6,3,4,1,2,0
401,,CDU,7,10,4,8,5,6,2,3,1
402,,ICU,4,6,3,5,3,3,1,2,0
403,,Recovery,9,18,5,14,8,7,3,5,1
404,,Emergency,10,22,7,16,12,10,4,6,2
405,,Site Clinic,6,10,3,8,5,4,2,3,0
406,,Sub-Total,81,141,41,94,63,60,24,36,7
407,,Nursery,3,5,1,3,2,2,1,1,0
408,,Total,84,146,42,97,65,62,25,37,7
409,,Med/Surg,10,20,5,15,10,8,5,6,1
410,,Mat/Surg,8,15,3,12,6,9,3,4,0
411,,Lying-In,12,25,6,18,14,13,4,7,2
412,,NICU,5,8,2,6,3,4,1,2,0
413,,CDU,7,10,4,8,5,6,2,3,1
414,,ICU,4,6,3,5,3,3,1,2,0
415,,Recovery,9,18,5,14,8,7,3,5,1
416,,Emergency,10,22,7,16,12,10,4,6,2
417,,Site Clinic,6,10,3,8,5,4,2,3,0
418,,Sub-Total,81,141,41,94,63,60,24,36,7
419,,Nursery,3,5,1,3,2,2,1,1,0
420,,Total,84,146,42,97,65,62,25,37,7
421,,Med/Surg,10,20,5,15,10,8,5,6,1
422,,Mat/Surg,8,15,3,12,6,9,3,4,0
423,,Lying-In,12,25,6,18,14,13,4,7,2
424,,NICU,5,8,2,6,3,4,1,2,0
425,,CDU,7,10,4,8,5,6,2,3,1
426,,ICU,4,6,3,5,3,3,1,2,0
427,,Recovery,9,18,5,14,8,7,3,5,1
428,,Emergency,10,22,7,16,12,10,4,6,2
429,,Site Clinic,6,10,3,8,5,4,2,3,0
430,,Sub-Total,81,141,41,94,63,60,24,36,7
431,,Nursery,3,5,1,3,2,2,1,1,0
432,,Total,84,146,42,97,65,62,25,37,7
433,,Med/Surg,10,20,5,15,10,8,5,6,1
434,,Mat/Surg,8,15,3,12,6,9,3,4,0
435,,Lying-In,12,25,6,18,14,13,4,7,2
436,,NICU,5,8,2,6,3,4,1,2,0
437,,CDU,7,10,4,8,5,6,2,3,1
438,,ICU,4,6,3,5,3,3,1,2,0
439,,Recovery,9,18,5,14,8,7,3,5,1
440,,Emergency,10,22,7,16,12,10,4,6,2
441,,Site Clinic,6,10,3,8,5,4,2,3,0
442,,Sub-Total,81,141,41,94,63,60,24,36,7
443,,Nursery,3,5,1,3,2,2,1,1,0
444,,Total,84,146,42,97,65,62,25,37,7
445,,Med/Surg,10,20,5,15,10,8,5,6,1
446,,Mat/Surg,8,15,3,12,6,9,3,4,0
447,,Lying-In,12,25,6,18,14,13,4,7,2
448,,NICU,5,8,2,6,3,4,1,2,0
449,,CDU,7,10,4,8,5,6,2,3,1
450,,ICU,4,6,3,5,3,3,1,2,0
451,,Recovery,9,18,5,14,8,7,3,5,1
452,,Emergency,10,22,7,16,12,10,4,6,2
453,,Site Clinic,6,10,3,8,5,4,2,3,0
454,,Sub-Total,81,141,41,94,63,60,24,36,7
455,,Nursery,3,5,1,3,2,2,1,1,0
456,,Total,84,146,42,97,65,62,25,37,7
457,,Med/Surg,10,20,5,15,10,8,5,6,1
458,,Mat/Surg,8,15,3,12,6,9,3,4,0
459,,Lying-In,12,25,6,18,14,13,4,7,2
460,,NICU,5,8,2,6,3,4,1,2,0
461,,CDU,7,10,4,8,5,6,2,3,1
462,,ICU,4,6,3,5,3,3,1,2,0
463,,Recovery,9,18,5,14,8,7,3,5,1
464,,Emergency,10,22,7,16,12,10,4,6,2
465,,Site Clinic,6,10,3,8,5,4,2,3,0
466,,Sub-Total,81,141,41,94,63,60,24,36,7
467,,Nursery,3,5,1,3,2,2,1,1,0
468,,Total,84,146,42,97,65,62,25,37,7
469,,Med/Surg,10,20,5,15,10,8,5,6,1
470,,Mat/Surg,8,15,3,12,6,9,3,4,0
471,,Lying-In,12,25,6,18,14,13,4,7,2
472,,NICU,5,8,2,6,3,4,1,2,0
473,,CDU,7,10,4,8,5,6,2,3,1
474,,ICU,4,6,3,5,3,3,1,2,0
475,,Recovery,9,18,5,14,8,7,3,5,1
476,,Emergency,10,22,7,16,12,10,4,6,2
477,,Site Clinic,6,10,3,8,5,4,2,3,0
478,,Sub-Total,81,141,41,94,63,60,24,36,7
479,,Nursery,3,5,1,3,2,2,1,1,0
480,,Total,84,146,42,97,65,62,25,37,7
481,,Med/Surg,10,20,5,15,10,8,5,6,1
482,,Mat/Surg,8,15,3,12,6,9,3,4,0
483,,Lying-In,12,25,6,18,14,13,4,7,2
484,,NICU,5,8,2,6,3,4,1,2,0
485,,CDU,7,10,4,8,5,6,2,3,1
486,,ICU,4,6,3,5,3,3,1,2,0
487,,Recovery,9,18,5,14,8,7,3,5,1
488,,Emergency,10,22,7,16,12,10,4,6,2
489,,Site Clinic,6,10,3,8,5,4,2,3,0
490,,Sub-Total,81,141,41,94,63,60,24,36,7
491,,Nursery,3,5,1,3,2,2,1,1,0
492,,Total,84,146,42,97,65,62,25,37,7
493,,Med/Surg,10,20,5,15,10,8,5,6,1
494,,Mat/Surg,8,15,3,12,6,9,3,4,0
495,,Lying-In,12,25,6,18,14,13,4,7,2
496,,NICU,5,8,2,6,3,4,1,2,0
497,,CDU,7,10,4,8,5,6,2,3,1
498,,ICU,4,6,3,5,3,3,1,2,0
499,,Recovery,9,18,5,14,8,7,3,5,1
500,,Emergency,10,22,7,16,12,10,4,6,2
501,,Site Clinic,6,10,3,8,5,4,2,3,0
502,,Sub-Total,81,141,41,94,63,60,24,36,7
503,,Nursery,3,5,1,3,2,2,1,1,0
504,,Total,84,146,42,97,65,62,25,37,7
505,,Med/Surg,10,20,5,15,10,8,5,6,1
